CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
BSM (METALS) LTD,8019910,,,UNIT 3 CATLOWS YARD,WHITEGATE WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,,LA3 3BS,Private Limited Company,Active,United Kingdom,,04/04/2012,31,3,31/12/2023,31/03/2022,MICRO ENTITY,02/05/2017,04/04/2016,0,0,0,0,38210 - Treatment and disposal of non-hazardous waste,,,,0,0,http://business.data.gov.uk/id/company/08019910,,,,,,,,,,,,,,,,,,,,,18/04/2024,04/04/2023
BTB JOINERY LIMITED,9526561,,,355 HEYSHAM ROAD,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2BP,Private Limited Company,Active,United Kingdom,,07/04/2015,30,4,31/01/2024,30/04/2022,MICRO ENTITY,05/05/2017,07/04/2016,0,0,0,0,41100 - Development of building projects,,,,0,0,http://business.data.gov.uk/id/company/09526561,,,,,,,,,,,,,,,,,,,,,21/04/2024,07/04/2023
BUELLA LIFE LIMITED,11435555,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3PA,Private Limited Company,Active,United Kingdom,,27/06/2018,30,6,31/03/2024,30/06/2022,MICRO ENTITY,25/07/2019,,0,0,0,0,96040 - Physical well-being activities,,,,0,0,http://business.data.gov.uk/id/company/11435555,,,,,,,,,,,,,,,,,,,,,10/07/2024,26/06/2023
BUILDING PLAN SERVICES LIMITED,4956217,,,43 ST JOHNS ROAD,HEYSHAM,MORECAMBE,LANCASHIRE,ENGLAND,LA3 1EX,Private Limited Company,Active,United Kingdom,,06/11/2003,31,3,31/12/2023,31/03/2022,MICRO ENTITY,04/12/2016,06/11/2015,0,0,0,0,71111 - Architectural activities,,,,0,0,http://business.data.gov.uk/id/company/04956217,,,,,,,,,,,,,,,,,,,,,18/11/2023,04/11/2022
BURNHAM COURT RESIDENTS' ASSOCIATION (MORECAMBE) LIMITED,1471967,,,10 BURNHAM COURT WOODLANDS DRIVE,MORECAMBE & HEYSHAM,LANCASHIRE,,,LA3 1NJ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,09/01/1980,29,4,29/01/2025,29/04/2023,TOTAL EXEMPTION FULL,21/08/2016,24/07/2015,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/01471967,,,,,,,,,,,,,,,,,,,,,07/08/2024,24/07/2023
BURY HOSPITALITY COMPANY LIMITED,12854424,,,THE OLD HALL HEYSHAM ROAD,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2RT,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,03/09/2020,30,9,30/06/2023,30/09/2021,MICRO ENTITY,01/10/2021,,0,0,0,0,56302 - Public houses and bars,,,,0,0,http://business.data.gov.uk/id/company/12854424,,,,,,,,,,,,,,,,,,,,,16/09/2023,02/09/2022
BUTTERFLY DEVELOPMENTS (LANCASTER) LIMITED,8133802,,,C/O BLEND ACCOUNTANTS FIRST FLOOR BRUNEL HOUSE,9 PENROD WAY,HEYSHAM,LANCASHIRE,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,06/07/2012,31,8,31/05/2024,31/08/2022,TOTAL EXEMPTION FULL,03/08/2016,06/07/2015,0,0,0,0,41100 - Development of building projects,,,,0,0,http://business.data.gov.uk/id/company/08133802,,,,,,,,,,,,,,,,,,,,,05/07/2024,21/06/2023
C & E HOLDINGS (KENDAL) LIMITED,14121062,,,C/O BLEND ACCOUNTANTS 9 PENROD WAY,HEYSHAM,MORECAMBE,LANCASHIRE,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,20/05/2022,31,5,28/02/2025,31/05/2023,DORMANT,17/06/2023,,0,0,0,0,68201 - Renting and operating of Housing Association real estate,,,,0,0,http://business.data.gov.uk/id/company/14121062,,,,,,,,,,,,,,,,,,,,,02/06/2024,19/05/2023
C & E INVESTMENTS (KENDAL) LTD,14887901,,,C/O BLEND ACCOUNTANTS 9 PENROD WAY,HEYSHAM,MORECAMBE,LANCASHIRE,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,23/05/2023,31,5,23/02/2025,,NO ACCOUNTS FILED,20/06/2024,,0,0,0,0,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,,,0,0,http://business.data.gov.uk/id/company/14887901,,,,,,,,,,,,,,,,,,,,,19/07/2024,05/07/2023
C & G RECYCLING LIMITED,4714563,,,UNIT 1 MIDDLEGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,,ENGLAND,LA3 3PS,Private Limited Company,Active,United Kingdom,,27/03/2003,31,3,31/12/2024,31/03/2023,MICRO ENTITY,24/04/2017,27/03/2016,3,1,0,2,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/04714563,,,,,,,,,,,,,,,,,,,,,27/08/2024,13/08/2023
C & M MOTORS (LANCASTER) LIMITED,4820207,,,C/O BLEND ACCOUNTANTS FIRST FLOOR BRUNEL HOUSE,9 PENROD WAY,HEYSHAM,LANCASHIRE,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,03/07/2003,31,8,31/05/2024,31/08/2022,TOTAL EXEMPTION FULL,31/07/2016,03/07/2015,0,0,0,0,45200 - Maintenance and repair of motor vehicles,,,,0,0,http://business.data.gov.uk/id/company/04820207,,,,,,,,,,,,,,,,,,,,,05/07/2024,21/06/2023
C R PLUMBING LTD,14995952,,,UNIT 1C MAJOR INDUSTRIAL ESTATE MIDDLETON ROAD,MIDDLETON,MORECAMBE,,ENGLAND,LA3 3NT,Private Limited Company,Active,United Kingdom,,11/07/2023,31,7,11/04/2025,,NO ACCOUNTS FILED,08/08/2024,,0,0,0,0,"43220 - Plumbing, heat and air-conditioning installation",,,,0,0,http://business.data.gov.uk/id/company/14995952,,,,,,,,,,,,,,,,,,,,,24/07/2024,
C. FALKINGHAM ENGINEERING LTD,12363162,,,248 HEYSHAM ROAD,HEYSHAM,MORECAMBE,,ENGLAND,LA3 1NW,Private Limited Company,Active,United Kingdom,,13/12/2019,31,12,30/09/2024,31/12/2022,MICRO ENTITY,10/01/2021,,0,0,0,0,71122 - Engineering related scientific and technical consulting activities,,,,0,0,http://business.data.gov.uk/id/company/12363162,,,,,,,,,,,,,,,,,,,,,26/12/2023,12/12/2022
C.A.B DEVELOPMENTS LTD,11835882,,,26 CATHEDRAL DRIVE,HEATON WITH OXCLIFFE,MORECAMBE,,UNITED KINGDOM,LA3 3RE,Private Limited Company,Active,United Kingdom,,19/02/2019,28,2,30/11/2023,28/02/2022,UNAUDITED ABRIDGED,18/03/2020,,2,2,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/11835882,,,,,,,,,,,,,,,,,,,,,22/01/2024,08/01/2023
CAJ SERVICES (NORTH) LIMITED,10504174,,,BUILDING 20 SOUTH QUAY,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2XE,Private Limited Company,Active,United Kingdom,,30/11/2016,29,11,29/08/2024,29/11/2022,MICRO ENTITY,28/12/2017,,0,0,0,0,43120 - Site preparation,,,,0,0,http://business.data.gov.uk/id/company/10504174,,,,,,,,,,,,,,,,,,,,,13/12/2023,29/11/2022
CALISCO GROUP LIMITED,12463019,,,2 CLOISTERS,HEATON WITH OXCLIFFE,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 3RG,Private Limited Company,Active,United Kingdom,,14/02/2020,29,2,30/11/2023,28/02/2022,DORMANT,14/03/2021,,0,0,0,0,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,,,0,0,http://business.data.gov.uk/id/company/12463019,,,,,,,,,,,,,,,,,,,,,27/02/2024,13/02/2023
CAMDEN TOWN RADIO LTD,14676097,,,103 CLARENDON ROAD,,MORECAMBE,,ENGLAND,LA3 1SB,Private Limited Company,Active,United Kingdom,,20/02/2023,28,2,20/11/2024,,NO ACCOUNTS FILED,19/03/2024,,0,0,0,0,60100 - Radio broadcasting,,,,0,0,http://business.data.gov.uk/id/company/14676097,,,,,,,,,,,,,,,,,,,,,04/03/2024,
CAMP ELEVATE LIMITED,14212552,,,1 BRYONY COURT,,MORECAMBE,,ENGLAND,LA3 3QL,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,04/07/2022,31,7,04/04/2024,,NO ACCOUNTS FILED,01/08/2023,,0,0,0,0,88910 - Child day-care activities,93120 - Activities of sport clubs,,,0,0,http://business.data.gov.uk/id/company/14212552,,,,,,,,,,,,,,,,,,,,,17/07/2023,
CANNON RUN HOLIDAYS LIMITED,13472870,,,SEFTON HOUSE WHITEGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,,ENGLAND,LA3 3BS,Private Limited Company,Active,United Kingdom,,23/06/2021,30,6,31/03/2025,30/06/2023,DORMANT,21/07/2022,,0,0,0,0,79120 - Tour operator activities,,,,0,0,http://business.data.gov.uk/id/company/13472870,,,,,,,,,,,,,,,,,,,,,06/07/2024,22/06/2023
CAP BUSINESS SOLUTIONS LTD,7041440,,,10 PRIORSGATE,HEATON WITH OXCLIFFE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3RN,Private Limited Company,Active,United Kingdom,,14/10/2009,31,3,31/12/2023,31/03/2022,UNAUDITED ABRIDGED,11/11/2016,14/10/2015,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/07041440,21/11/2009,CPA BUSINESS SERVICES LTD,,,,,,,,,,,,,,,,,,,28/10/2023,14/10/2022
CAP BUSINESS STORES LIMITED,11121371,,,10 PRIORSGATE,HEATON WITH OXCLIFFE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3RN,Private Limited Company,Active,United Kingdom,,21/12/2017,30,12,30/09/2024,31/12/2022,TOTAL EXEMPTION FULL,18/01/2019,,0,0,0,0,47190 - Other retail sale in non-specialised stores,,,,0,0,http://business.data.gov.uk/id/company/11121371,,,,,,,,,,,,,,,,,,,,,03/01/2024,20/12/2022
CARBON GRID LIMITED,6949258,,,UNIT C-D HEYSHAM BUSINESS PARK,MIDDLETON ROAD,HEYSHAM,LANCASHIRE,,LA3 3PP,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,01/07/2009,28,2,30/11/2021,28/02/2020,UNAUDITED ABRIDGED,29/07/2016,01/07/2015,0,0,0,0,39000 - Remediation activities and other waste management services,,,,0,0,http://business.data.gov.uk/id/company/06949258,,,,,,,,,,,,,,,,,,,,,15/07/2022,01/07/2021
CARING FOR CHILDREN LIMITED,11922643,,,13 WOBORROW ROAD,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2PN,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,03/04/2019,30,4,31/01/2023,30/04/2021,DORMANT,01/05/2020,,0,0,0,0,87900 - Other residential care activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/11922643,,,,,,,,,,,,,,,,,,,,,16/04/2023,02/04/2022
CARL JAMES ASSOCIATES LTD,9886619,,,1-2 CROOKLEIGH PLACE,HEYSHAM,MORECAMBE,,ENGLAND,LA3 1EY,Private Limited Company,Active,United Kingdom,,24/11/2015,31,12,30/12/2023,31/12/2021,TOTAL EXEMPTION FULL,22/12/2016,,0,0,0,0,79909 - Other reservation service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/09886619,06/02/2018,T W SALES AND MARKETING LIMITED,,,,,,,,,,,,,,,,,,,26/04/2024,12/04/2023
CAROUSEL CHILD CARE MORECAMBE LTD,8672221,,,2 NORTON PLACE,HEYSHAM,MORECAMBE,LANCASHIRE,,LA3 1PJ,Private Limited Company,Active,United Kingdom,,02/09/2013,29,9,29/06/2024,29/09/2022,MICRO ENTITY,10/10/2016,12/09/2015,0,0,0,0,85100 - Pre-primary education,,,,0,0,http://business.data.gov.uk/id/company/08672221,,,,,,,,,,,,,,,,,,,,,26/09/2023,12/09/2022
CASTLE WINDOWS (MORECAMBE) LTD,9760505,,,UNIT 1A NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3AY,Private Limited Company,Active,United Kingdom,,03/09/2015,30,9,30/06/2024,30/09/2022,TOTAL EXEMPTION FULL,01/10/2016,,0,0,0,0,43342 - Glazing,,,,0,0,http://business.data.gov.uk/id/company/09760505,,,,,,,,,,,,,,,,,,,,,19/01/2024,05/01/2023
CASTLEGATE TESTING UK LIMITED,12933916,,,39 BOWLAND ROAD,HEYSHAM,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 2EW,Private Limited Company,Active,United Kingdom,,07/10/2020,31,10,31/07/2024,31/10/2022,MICRO ENTITY,04/11/2021,,0,0,0,0,43210 - Electrical installation,,,,0,0,http://business.data.gov.uk/id/company/12933916,,,,,,,,,,,,,,,,,,,,,20/10/2023,06/10/2022
CB MECHANICAL LTD,9450123,,,38 SEVERN COURT,,MORECAMBE,LANCS,ENGLAND,LA3 3ST,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,20/02/2015,28,2,30/11/2022,28/02/2021,UNAUDITED ABRIDGED,20/03/2017,20/02/2016,0,0,0,0,33120 - Repair of machinery,,,,0,0,http://business.data.gov.uk/id/company/09450123,,,,,,,,,,,,,,,,,,,,,05/03/2024,20/02/2023
CBS BLINDS LTD,11780864,,,1 FELLGATE,WHITE LUND,MORECAMBE,,UNITED KINGDOM,LA3 3PE,Private Limited Company,Active,United Kingdom,,22/01/2019,28,2,30/11/2023,28/02/2022,TOTAL EXEMPTION FULL,19/02/2020,,0,0,0,0,32990 - Other manufacturing n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/11780864,,,,,,,,,,,,,,,,,,,,,04/02/2024,21/01/2023
CBT CLOUD C.I.C.,11560907,,,11-13 WEST STREET,WEST STREET,MORECAMBE,,ENGLAND,LA3 1RB,Community Interest Company,Active,United Kingdom,,10/09/2018,30,9,30/06/2024,30/09/2022,TOTAL EXEMPTION FULL,08/10/2019,,0,0,0,0,86900 - Other human health activities,,,,0,0,http://business.data.gov.uk/id/company/11560907,11/11/2021,CBT CLOUD LTD,,,,,,,,,,,,,,,,,,,31/10/2023,17/10/2022
CD DRIVEWAYS & PATIOS LTD,11975016,,,46 OXCLIFFE ROAD,,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 1LX,Private Limited Company,Active,United Kingdom,,02/05/2019,31,5,29/02/2024,31/05/2022,MICRO ENTITY,30/05/2020,,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/11975016,,,,,,,,,,,,,,,,,,,,,15/05/2024,01/05/2023
CELTECH HOLDINGS LIMITED,2897709,,,39 NORTHGATE,WHITE LUND,MORECAMBE,,ENGLAND,LA3 3PA,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,14/02/1994,31,12,30/09/2024,31/12/2022,TOTAL EXEMPTION FULL,14/03/2017,14/02/2016,2,0,0,2,70100 - Activities of head offices,,,,0,0,http://business.data.gov.uk/id/company/02897709,,,,,,,,,,,,,,,,,,,,,28/02/2024,14/02/2023
CENTRAL CAR & VAN SALES LIMITED,7952915,,,CENTRAL CAR & VAN SALES WHITEGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3BT,Private Limited Company,Active,United Kingdom,,16/02/2012,31,3,31/12/2023,31/03/2022,TOTAL EXEMPTION FULL,16/03/2017,16/02/2016,0,0,0,0,45112 - Sale of used cars and light motor vehicles,,,,0,0,http://business.data.gov.uk/id/company/07952915,,,,,,,,,,,,,,,,,,,,,01/03/2024,16/02/2023
CHAHAR  LIMITED,6488361,,,UNIT B HEYSHAM  BUSINESS PARK,MIDDLETON ROAD,HEYSHAM,LANCASHIRE,,LA3 3PP,Private Limited Company,Active,United Kingdom,,30/01/2008,31,1,31/10/2023,31/01/2022,TOTAL EXEMPTION FULL,27/02/2017,30/01/2016,0,0,0,0,"77390 - Renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,,0,0,http://business.data.gov.uk/id/company/06488361,,,,,,,,,,,,,,,,,,,,,13/02/2024,30/01/2023
CHD TRADING LTD,8925768,,,SEFTON HOUSE WHITEGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,,LA3 3BS,Private Limited Company,Active,United Kingdom,,06/03/2014,31,3,31/12/2023,31/03/2022,MICRO ENTITY,03/04/2017,06/03/2016,0,0,0,0,47190 - Other retail sale in non-specialised stores,,,,0,0,http://business.data.gov.uk/id/company/08925768,,,,,,,,,,,,,,,,,,,,,20/03/2024,06/03/2023
CHOCTAW MEDIA LTD,4627649,,,18 MARINE ROAD WEST,,MORECAMBE,,ENGLAND,LA3 1BU,Private Limited Company,Active,United Kingdom,,03/01/2003,31,3,31/12/2023,31/03/2022,MICRO ENTITY,31/01/2017,03/01/2016,0,0,0,0,62090 - Other information technology service activities,,,,0,0,http://business.data.gov.uk/id/company/04627649,,,,,,,,,,,,,,,,,,,,,17/01/2024,03/01/2023
CHRIS BOWKER LIMITED,1642561,,,WHITEGATE,WHITE LUND,MORECAMBE,LANCS,,LA3 3BS,Private Limited Company,Active,United Kingdom,,10/06/1982,31,5,29/02/2024,31/05/2022,FULL,15/01/2017,18/12/2015,3,2,0,1,43210 - Electrical installation,,,,0,0,http://business.data.gov.uk/id/company/01642561,,,,,,,,,,,,,,,,,,,,,01/01/2024,18/12/2022
CITIBED LIMITED,14895036,,,"EASTGATE, WHITE LUND INDUSTRIAL ESTATE",,MORECAMBE,,UNITED KINGDOM,LA3 3DY,Private Limited Company,Active,United Kingdom,,25/05/2023,31,5,25/02/2025,,NO ACCOUNTS FILED,22/06/2024,,0,0,0,0,31090 - Manufacture of other furniture,,,,0,0,http://business.data.gov.uk/id/company/14895036,,,,,,,,,,,,,,,,,,,,,07/06/2024,
CLANDON COURT MANAGEMENT COMPANY LIMITED,2262135,,,"FLAT 11 CLANDON COURT, 42-44 SANDYLANDS PROMENADE",HEYSHAM,MORECAMBE,,ENGLAND,LA3 1DW,Private Limited Company,Active,United Kingdom,,25/05/1988,31,12,30/09/2024,31/12/2022,MICRO ENTITY,06/06/2017,09/05/2016,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/02262135,,,,,,,,,,,,,,,,,,,,,23/05/2024,09/05/2023
CLASSIC MOTOR CLUB SERVICES LTD,9066635,,,36 OXCLIFFE AVENUE,HEYSHAM,MORECAMBE,LANCASHIRE,,LA3 1PT,Private Limited Company,Active,United Kingdom,,02/06/2014,31,12,30/09/2024,31/12/2022,MICRO ENTITY,30/06/2017,02/06/2016,0,0,0,0,45112 - Sale of used cars and light motor vehicles,,,,0,0,http://business.data.gov.uk/id/company/09066635,,,,,,,,,,,,,,,,,,,,,10/05/2024,26/04/2023
CLEAN AND GREEN SERVICES (NW) LTD,13149903,,,33 WALKER GROVE,HEYSHAM,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 2DE,Private Limited Company,Active,United Kingdom,,21/01/2021,31,1,31/10/2024,31/01/2023,MICRO ENTITY,18/02/2022,,0,0,0,0,68320 - Management of real estate on a fee or contract basis,,,,0,0,http://business.data.gov.uk/id/company/13149903,,,,,,,,,,,,,,,,,,,,,03/02/2024,20/01/2023
CLEANING VALD LTD,14424666,,,FLAT 10 WATERSEDGE 71-72 SANDYLANDS PROMENADE,HEYSHAM,MORECAMBE,,ENGLAND,LA3 1DW,Private Limited Company,Active,United Kingdom,,17/10/2022,31,10,17/07/2024,,NO ACCOUNTS FILED,14/11/2023,,0,0,0,0,81210 - General cleaning of buildings,,,,0,0,http://business.data.gov.uk/id/company/14424666,,,,,,,,,,,,,,,,,,,,,30/10/2023,
CLEARANCE DIRECT LTD,11872316,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3PA,Private Limited Company,Active,United Kingdom,,09/03/2019,30,6,31/03/2024,30/06/2022,MICRO ENTITY,06/04/2020,,0,0,0,0,"47990 - Other retail sale not in stores, stalls or markets",,,,0,0,http://business.data.gov.uk/id/company/11872316,,,,,,,,,,,,,,,,,,,,,22/03/2024,08/03/2023
CLICK VISION MARKETING LTD,12267324,,,31 - 4 CAVENDISH ROAD,HEYSHAM,MORECAMBE,,ENGLAND,LA3 1TX,Private Limited Company,Active,United Kingdom,,17/10/2019,31,10,31/07/2023,31/10/2021,MICRO ENTITY,14/11/2020,,0,0,0,0,70229 - Management consultancy activities other than financial management,82990 - Other business support service activities n.e.c.,,,0,0,http://business.data.gov.uk/id/company/12267324,,,,,,,,,,,,,,,,,,,,,02/06/2024,19/05/2023
CLIFFORD MOTORS LTD,10900271,,,6 BUCKDEN PLACE,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2DX,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,04/08/2017,31,10,31/07/2021,31/10/2019,MICRO ENTITY,01/09/2018,,0,0,0,0,45200 - Maintenance and repair of motor vehicles,,,,0,0,http://business.data.gov.uk/id/company/10900271,,,,,,,,,,,,,,,,,,,,,04/09/2020,24/07/2019
CLINTON ASSOCIATES LIMITED,8850903,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3PA,Private Limited Company,Active,United Kingdom,,17/01/2014,31,1,31/10/2024,31/01/2023,MICRO ENTITY,14/02/2017,17/01/2016,0,0,0,0,85600 - Educational support services,,,,0,0,http://business.data.gov.uk/id/company/08850903,,,,,,,,,,,,,,,,,,,,,31/01/2024,17/01/2023
CLIPPESBY LTD,13728856,,,18 LORDSOME ROAD,,MORECAMBE,,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,08/11/2021,5,4,05/01/2024,05/04/2022,MICRO ENTITY,06/12/2022,,0,0,0,0,82920 - Packaging activities,,,,0,0,http://business.data.gov.uk/id/company/13728856,,,,,,,,,,,,,,,,,,,,,21/11/2023,07/11/2022
CLJ PUBLISHING LIMITED,7711941,,,15 HALE CARR LANE,,HEYSHAM,LANCASHIRE,,LA3 2AE,Private Limited Company,Active,United Kingdom,,20/07/2011,31,3,31/12/2023,31/03/2022,MICRO ENTITY,17/08/2016,20/07/2015,0,0,0,0,62090 - Other information technology service activities,,,,0,0,http://business.data.gov.uk/id/company/07711941,,,,,,,,,,,,,,,,,,,,,03/08/2024,20/07/2023
CLUBFIT GOLF LTD,8834681,,,2 VIKING WAY,HEYSHAM,MORECAMBE,,,LA3 2TH,Private Limited Company,Active,United Kingdom,,07/01/2014,31,1,31/10/2023,31/01/2022,MICRO ENTITY,28/02/2017,31/01/2016,0,0,0,0,93110 - Operation of sports facilities,,,,0,0,http://business.data.gov.uk/id/company/08834681,,,,,,,,,,,,,,,,,,,,,14/02/2024,31/01/2023
CM QUALITY CONSULTING LIMITED,15058140,,,10 KINGSMUIR CLOSE,,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 2UE,Private Limited Company,Active,United Kingdom,,08/08/2023,31,8,08/05/2025,,NO ACCOUNTS FILED,05/09/2024,,0,0,0,0,"74909 - Other professional, scientific and technical activities n.e.c.",,,,0,0,http://business.data.gov.uk/id/company/15058140,,,,,,,,,,,,,,,,,,,,,21/08/2024,
CMG LANCASTER LIMITED,9882036,,,NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3PA,Private Limited Company,Active,United Kingdom,,20/11/2015,31,12,30/09/2024,31/12/2022,FULL,18/12/2016,,4,1,0,3,45111 - Sale of new cars and light motor vehicles,,,,0,0,http://business.data.gov.uk/id/company/09882036,21/12/2015,NAPCO D J COX LIMITED,,,,,,,,,,,,,,,,,,,03/01/2024,20/12/2022
COASTAL CONSTRUCTION MORECAMBE LTD,14674555,,,20 OAKVILLE ROAD,,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 2TB,Private Limited Company,Active,United Kingdom,,18/02/2023,28,2,18/11/2024,,NO ACCOUNTS FILED,17/03/2024,,0,0,0,0,43999 - Other specialised construction activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/14674555,,,,,,,,,,,,,,,,,,,,,02/03/2024,
COASTAL DRAINS (NW) LTD,11922780,,,8 FURNESS ROAD,,HEYSHAM,LANCASHIRE,ENGLAND,LA3 1EZ,Private Limited Company,Active,United Kingdom,,03/04/2019,30,4,31/01/2024,30/04/2022,MICRO ENTITY,01/05/2020,,0,0,0,0,39000 - Remediation activities and other waste management services,,,,0,0,http://business.data.gov.uk/id/company/11922780,,,,,,,,,,,,,,,,,,,,,16/04/2024,02/04/2023
COLE & CO BARBERS LTD,13672149,,,368 HEYSHAM ROAD,,MORECAMBE,LANCASHIRE,ENGLAND,LA3 2BJ,Private Limited Company,Active,United Kingdom,,11/10/2021,30,10,30/07/2024,31/10/2022,MICRO ENTITY,08/11/2022,,0,0,0,0,96020 - Hairdressing and other beauty treatment,,,,0,0,http://business.data.gov.uk/id/company/13672149,,,,,,,,,,,,,,,,,,,,,24/10/2023,10/10/2022
COLIN KNOWLES DECORATING SERVICES LIMITED,10391498,,,48 BOWLAND ROAD,HEYSHAM,MORECAMBE,,UNITED KINGDOM,LA3 2EW,Private Limited Company,Active,United Kingdom,,23/09/2016,30,9,30/06/2024,30/09/2022,TOTAL EXEMPTION FULL,21/10/2017,,0,0,0,0,43341 - Painting,,,,0,0,http://business.data.gov.uk/id/company/10391498,,,,,,,,,,,,,,,,,,,,,06/10/2023,22/09/2022
COLLUP LTD,13489899,,,18 LORDSOME ROAD,,MORECAMBE,,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,02/07/2021,5,4,05/01/2024,05/04/2022,MICRO ENTITY,30/07/2022,,0,0,0,0,82920 - Packaging activities,,,,0,0,http://business.data.gov.uk/id/company/13489899,,,,,,,,,,,,,,,,,,,,,11/07/2024,27/06/2023
COMPARE CBD LTD,11369341,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3PA,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,17/05/2018,31,5,31/05/2022,31/05/2020,TOTAL EXEMPTION FULL,14/06/2019,,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/11369341,,,,,,,,,,,,,,,,,,,,,22/12/2022,08/12/2021
